Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
163 - Socialnämnden Nordost;NICOLE AJAKAYE;;1631114400;7499;Övriga främmande tjänster;35 000,00
163 - Socialnämnden Nordost;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1631112249;7499;Övriga främmande tjänster;1 740,00
300 - Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001072870;7499;Övriga främmande tjänster;1 000,00
300 - Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001072852;7499;Övriga främmande tjänster;7 000,00
560 - Kretslopp och vattennämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;5601374600;7231;Reklam och information;1 740,00
010 - Kommunstyrelsen;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;101082901;7611;Avgifter;320,00
164 - Socialnämnden Centrum;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1641092508;7641;Diverse skatter och offentliga avgifter;320,00
166 - Socialnämnden Hisingen;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1661083368;7611;Avgifter;320,00
230 - Stadsfastighetsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;2302184357;7641;Diverse skatter och offentliga avgifter;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001290600;7499;Övriga främmande tjänster;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001284856;7611;Avgifter;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001285873;7611;Avgifter;870,00
163 - Socialnämnden Nordost;SOCIALSTYRELSEN (FB);2021000555;1631113016;6431;Böcker tidningar och elektronisk media;2 931,45
166 - Socialnämnden Hisingen;SOCIALSTYRELSEN (FB);2021000555;1661081318;6431;Böcker tidningar och elektronisk media;306,32
400 - Stadsmiljönämnden;SMHI;2021000696;4001290035;7433;IT-program och licensavgifter;13 333,00
400 - Stadsmiljönämnden;SMHI;2021000696;4001284417;4630;Köp av huvudverksamhet;14 261,00
400 - Stadsmiljönämnden;SMHI;2021000696;4001290036;4630;Köp av huvudverksamhet;14 261,00
900 - Kommuncentrala poster;TULLVERKET;2021000969;9001003942;2882;Avräkningsskulder;290,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092361;7451;Administrativa konsulttjänster;250,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092362;7451;Administrativa konsulttjänster;1 500,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092453;7451;Administrativa konsulttjänster;1 500,00
010 - Kommunstyrelsen;ARBETSMILJÖVERKET;2021002148;101083547;7499;Övriga främmande tjänster;1 187,72
200 - Exploateringsnämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;2001225825;7641;Diverse skatter och offentliga avgifter;2 900,00
400 - Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;4001290903;7453;Tekniska konsulttjänster;2 900,00
400 - Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN;2021002361;4001285748;7611;Avgifter;870,00
800 - Miljö- och klimatnämnden;RIKSDAGSFÖRVALTNINGEN;2021002627;8001036407;6551;Trycksaker och blanketter mm;123,56
560 - Kretslopp och vattennämnden;GÖTEBORGS TINGSRÄTT;2021002742;5601374701;7459;Övriga konsulttjänster;140 000,00
165 - Socialnämnden Sydväst;UDDEVALLA TINGSRÄTT, SV DOMSTOLAR;2021002742;1651131889;7641;Diverse skatter och offentliga avgifter;900,00
560 - Kretslopp och vattennämnden;STOCKHOLMS UNIVERSITET;2021003062;5601372412;4103;Naturprod reservd övr anl/underhållsmtrl;16 290,00
152 - Valnämnden;GÖTEBORGS UNIVERSITET;2021003153;1521003245;6011;Lokalhyror;23 000,00
900 - Kommuncentrala poster;GÖTEBORGS UNIVERSITET;2021003153;9001003923;7611;Avgifter;2 000 000,00
393 - Idrotts- och föreningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;3931238208;6011;Lokalhyror;1 123 013,00
160 - Äldre samt vård- och omsorgsnämnden;GÖTEBORGS UNIVERSITET;2021003153;1601669509;7491;Tjänster välfärd och utbildningsinsatser;50 000,00
163 - Socialnämnden Nordost;GÖTEBORGS UNIVERSITET;2021003153;1631111995;7499;Övriga främmande tjänster;17 667,25
160 - Äldre samt vård- och omsorgsnämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1601665582;6461;Förbrukningsmaterial;470,75
609 - Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092207047;6431;Böcker tidningar och elektronisk media;744,34
161 - Nämnden för funktionsstöd;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1611410429;6431;Böcker tidningar och elektronisk media;744,34
161 - Nämnden för funktionsstöd;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1611399692;6431;Böcker tidningar och elektronisk media;891,51
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001290941;7499;Övriga främmande tjänster;5 468,75
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001291164;7499;Övriga främmande tjänster;4 673,54
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001290793;7499;Övriga främmande tjänster;2 355,20
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001283956;7499;Övriga främmande tjänster;3 201,60
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001283841;7499;Övriga främmande tjänster;4 395,90
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001284866;7499;Övriga främmande tjänster;2 195,28
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112240;4630;Köp av huvudverksamhet;21 600,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112242;4630;Köp av huvudverksamhet;180 000,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112244;4630;Köp av huvudverksamhet;21 600,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112226;4630;Köp av huvudverksamhet;122 880,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112226;4630;Köp av huvudverksamhet;22 620,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112234;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112236;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112233;4630;Köp av huvudverksamhet;67 584,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112233;4630;Köp av huvudverksamhet;12 441,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112243;4630;Köp av huvudverksamhet;10 800,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112227;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112227;4630;Köp av huvudverksamhet;33 930,00
