column0,name,title,author,year,age_category
0,Coolu Libraru,Don Quixote,Miguel de Cervantes,1605,old
1,Coolu Libraru,Crime and Punishment,Fyodor Dostoevsky,1866,old
2,Coolu Libraru,The Lord of the Rings,J.R.R. Tolkien,1954,new
3,Coolu Libraru,War and Peace,Leo Tolstoy,1869,old
4,Coolu Libraru,Moby Dick,Herman Melville,1851,old
5,Coolu Libraru,The Great Gatsby,F. Scott Fitzgerald,1925,new
6,Coolu Libraru,To Kill a Mockingbird,Harper Lee,1960,new
7,Coolu Libraru,1984,George Orwell,1949,new
8,Coolu Libraru,Pride and Prejudice,Jane Austen,1813,old
9,Coolu Libraru,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,new
